Date,Price,,,,,
2023/5/1,26730.2,,,,,
2023/4/1,29252.1,,,,,
2023/3/1,28473.7,,,,,
2023/2/1,23130.5,,,,,
2023/1/1,23125.1,,,,,
2022/12/1,16537.4,,,,,
2022/11/1,17163.9,,,,,
2022/10/1,20496.3,,,,,
2022/9/1,19423,,,,,
2022/8/1,20043.9,,,,,
2022/7/1,23303.4,,,,,
2022/6/1,19926.6,,,,,
2022/5/1,31793.4,,,,,
2022/4/1,37650,,,,,
2022/3/1,45525,,,,,
2022/2/1,43188.2,,,,,
2022/1/1,38498.6,,,,,
2021/12/1,46219.5,,,,,
2021/11/1,56882.9,,,,,
2021/10/1,61309.6,,,,,
2021/9/1,43823.3,,,,,
2021/8/1,47130.4,,,,,
2021/7/1,41553.7,,,,,
2021/6/1,35026.9,,,,,
2021/5/1,37298.6,,,,,
2021/4/1,57720.3,,,,,
2021/3/1,58763.7,,,,,
2021/2/1,45164,,,,,
2021/1/1,33108.1,,,,,
2020/12/1,28949.4,,,,,
2020/11/1,19698.1,,,,,
2020/10/1,13797.3,,,,,
2020/9/1,10776.1,,,,,
2020/8/1,11644.2,,,,,
2020/7/1,11333.4,,,,,
2020/6/1,9135.4,,,,,
2020/5/1,9454.8,,,,,
2020/4/1,8629,,,,,
2020/3/1,6412.5,,,,,
2020/2/1,8543.7,,,,,
2020/1/1,9349.1,,,,,
2019/12/1,7196.4,,,,,
2019/11/1,7546.6,,,,,
2019/10/1,9152.6,,,,,
2019/9/1,8284.3,,,,,
2019/8/1,9594.4,,,,,
2019/7/1,10082,,,,,
2019/6/1,10818.6,,,,,
2019/5/1,8558.3,,,,,
2019/4/1,5320.8,,,,,
2019/3/1,4102.3,,,,,
2019/2/1,3816.6,,,,,
2019/1/1,3437.2,,,,,
2018/12/1,3709.4,,,,,
2018/11/1,4039.7,,,,,
2018/10/1,6365.9,,,,,
2018/9/1,6635.2,,,,,
2018/8/1,7033.8,,,,,
2018/7/1,7729.4,,,,,
2018/6/1,6398.9,,,,,
2018/5/1,7502.6,,,,,
2018/4/1,9245.1,,,,,
2018/3/1,6938.2,,,,,
2018/2/1,10333.9,,,,,
2018/1/1,10265.4,,,,,
2017/12/1,13850.4,,,,,
2017/11/1,9946.8,,,,,
2017/10/1,6451.2,,,,,
2017/9/1,4360.6,,,,,
2017/8/1,4735.1,,,,,
2017/7/1,2883.3,,,,,
2017/6/1,2480.6,,,,,
2017/5/1,2303.3,,,,,
2017/4/1,1351.9,,,,,
2017/3/1,1079.1,,,,,
2017/2/1,1189.3,,,,,
2017/1/1,965.5,,,,,
2016/12/1,963.4,,,,,
2016/11/1,742.5,,,,,
2016/10/1,698.7,,,,,
2016/9/1,608.1,,,,,
2016/8/1,573.9,,,,,
2016/7/1,621.9,,,,,
2016/6/1,670,,,,,
2016/5/1,528.9,,,,,
2016/4/1,448.5,,,,,
2016/3/1,415.7,,,,,
2016/2/1,436.2,,,,,
2016/1/1,369.8,,,,,
2015/12/1,430,,,,,
2015/11/1,378,,,,,
2015/10/1,311.2,,,,,
2015/9/1,235.9,,,,,
2015/8/1,229.5,,,,,
2015/7/1,283.7,,,,,
2015/6/1,264.1,,,,,
2015/5/1,229.8,,,,,
2015/4/1,235.8,,,,,
2015/3/1,244.1,,,,,
2015/2/1,254.1,,,,,
2015/1/1,218.5,,,,,
2014/12/1,318.2,,,,,
2014/11/1,374.9,,,,,
2014/10/1,337.9,,,,,
2014/9/1,388.2,,,,,
2014/8/1,481.8,,,,,
2014/7/1,589.5,,,,,
2014/6/1,635.1,,,,,
2014/5/1,627.9,,,,,
2014/4/1,445.6,,,,,
2014/3/1,444.7,,,,,
2014/2/1,573.9,,,,,
2014/1/1,938.8,,,,,
2013/12/1,805.9,,,,,
2013/11/1,1205.7,,,,,
2013/10/1,211.2,,,,,
2013/9/1,141.9,,,,,
2013/8/1,141,,,,,
2013/7/1,106.2,,,,,
2013/6/1,97.5,,,,,
2013/5/1,128.8,,,,,
2013/4/1,139.2,,,,,
2013/3/1,93,,,,,
2013/2/1,33.4,,,,,
2013/1/1,20.4,,,,,
2012/12/1,13.5,,,,,
2012/11/1,12.6,,,,,
2012/10/1,11.2,,,,,
2012/9/1,12.4,,,,,
2012/8/1,10.2,,,,,
2012/7/1,9.4,,,,,
2012/6/1,6.7,,,,,
2012/5/1,5.2,,,,,
2012/4/1,4.9,,,,,
2012/3/1,4.9,,,,,
2012/2/1,4.9,,,,,
2012/1/1,5.5,,,,,
2011/12/1,4.7,,,,,
2011/11/1,3,,,,,
2011/10/1,3.3,,,,,
2011/9/1,5.1,,,,,
2011/8/1,8.2,,,,,
2011/7/1,13.4,,,,,
2011/6/1,16.1,,,,,
2011/5/1,8.7,,,,,
2011/4/1,3.5,,,,,
2011/3/1,0.8,,,,,
2011/2/1,0.9,,,,,
2011/1/1,0.5,,,,,
2010/12/1,0.3,,,,,
2010/11/1,0.2,,,,,
2010/10/1,0.2,,,,,
